Question,Option 1,Option 2,Option 3,Option 4,Correct Answer,Time,Image Link,,
Secure authentication requires:," a user name, a password, and encryption of this information.",a user name only.,either a user name or a password.,a user name and a password.,1,,,,
Which of the following is an effective way for Web site owners to prevent typosquatting?, Encrypt all network transmissions with algorithms that use a minimum of 128-bit keys,Host their Web sites on illicit servers,Purchase domain names that are similar to their actual domain names,Automatically apply operating system updates and patches as they become available,3,,,,
"Which term is used to describe a password-protected, encrypted data file that verifies the identity of the sender of a message?", Encrypted key,Digital certificate,Digital signature,Firewall,2,,,,
Which is the most common method used to authenticate users on private and public computer networks?, Digital certificates,User names and passwords,Encrypted keys,Digital signatures,2,,,,
Which statement best describes symmetric-key encryption?, An encryption method in which a key is required to encrypt data for storage and to verify its integrity,An encryption method in which numbers generated by an algorithm from a text string are used to verify the integrity of transmitted messages,An encryption method in which two separate keys -- a private key and a public key -- are used to encrypt and decrypt a message,An encryption method in which the same key is used to encrypt and decrypt a message,4,,,,
"Your computer crashed, and you lost many personal and work-related files. You just got a new computer, but you are now much more concerned about viruses and other security threats. Which strategy can help you protect your computer against virus attacks?", Open e-mail attachments only from unknown senders.,Update the definitions on your anti-virus application frequently.,Perform regular backups of your hard drive.,Disable your Web browser's automatic security settings so you can manually control the content you download.,2,,,,
"When your company's private LAN is protected by a firewall, which of the following is true?", Neither outside users nor users on the LAN can access information from the Internet.,"Users on the LAN cannot access information from the Internet, but outside users can access information stored on the LAN.",Neither outside users nor users on the LAN can access information stored on the LAN.,"Users on the LAN can access information from the Internet, but outside users cannot access information stored on the LAN.",4,,,,
What does anti-virus software do?, It prevents you from opening a program or file sent to you via e-mail or instant messaging.,"It detects viruses by recognizing patterns called signature profiles, and warns you if your system is infected so you avoid transmitting the virus to other systems.","It fortifies computer systems over time by repeated exposure to weak but similar viruses, building immunity to newer viruses so the system can resist damage.","It detects viruses by recognizing patterns called signature profiles, then immediately disinfects your hard drive.",4,,,,
A digital signature verifies the identity of the sender and provides data integrity. Which of the following does it also do?, Enforces non-repudiation,Provides data confidentiality,Creates digital certificate requests,Signs digital certificate requests,1,,,,
Which statement best describes asymmetric-key encryption?, An encryption method in which the same key is used to encrypt and decrypt a message,An encryption method in which a key is required to encrypt data for storage and verify its integrity,An encryption method in which numbers generated by an algorithm from a text string are used to verify the integrity of transmitted messages,An encryption method in which two separate keys -- a private key and a public key -- are used to encrypt and decrypt a message,4,,,,
Which of the following is an electronic stamp that can verify the integrity of data and the identity of the message source?, Private key,Secure authentication,Certificate authority,Digital signature,4,,,,
"Lisa has received a file attachment from a co-worker, James. She has no reason to expect a file from this person. The most effective security strategy for Lisa to follow would be:", to open the file attachment and use anti-virus software to scan it.,"to call, text or IM James before opening the attachment, to verify that he intended to send it.",to make back-up copies of important files so that she can recover them in case of an incident.,to use anti-virus software to scan the system's hard disk before opening the attachment.,2,,,,
"Which term is used to describe a software application that is secretly placed on a user's system to gather information and relay it to outside parties, usually for advertising purposes?", Spyware,Illicit server,Malware,Trojan,1,,,,
Which statement is true regarding a virus attack on your system?, Most viruses can be removed without permanent damage to your system if they have not commenced their attack.,Most viruses cannot be removed from your system once your files have been infected.,"Most viruses can be removed from your system, but only after they have run their course.",Most viruses can be halted after they commence an attack and can be removed without permanent damage to your system.,4,,,,
"Computer viruses can cause damage ranging from relatively minor to debilitating. You can protect your system against viruses by using commercial virus-detection software to find and defeat viruses. Because new viruses are created so rapidly, what must you do to ensure that your anti-virus software can protect you?", Install anti-virus software program updates to keep the signature profiles current.,"After you install the anti-virus software, scan your system at least weekly.","After you install the anti-virus software, scan your system every day.",Install at least two different anti-virus programs and alternate their use randomly.,1,,,,
Which of the following is a vital part of any firewall strategy?, The inclusion of a Web server,The use of Internet plug-ins that can function through firewalls,The security policies created by firewall administrators,The inclusion of an FTP server,3,,,,
What can you use to electronically verify your identity without the need to provide data confidentiality?, Firewall,Digital signature,Encrypted key,Digital certificate,2,,,,
"You have registered for an e-learning course and are ready to begin. However, when you access the e-learning course page as directed, you find that you cannot log in because the authentication window will not launch. The most likely cause of this problem is that:", you have recently cleared your browser's history file.,you have recently cleared your browser's cookie cache.,you have enabled pop-up blocking software in your browser.,you have enabled pop-up blocking software in your operating system.,3,,,,
"Which encryption method provides data integrity because, even though encrypted data is not decrypted, you can verify whether the data was altered after encryption?", Asymmetric-key encryption,Hash encryption,Symmetric-key encryption,RSA encryption,2,,,,
A firewall can perform which task?, Provide public access to previously controlled information,Increase browser interpretation of HTML,Prevent unauthorized access to proprietary data on an intranet,Read and censor internal e-mail messages,3,,,,
You receive a text message on your cell phone from an unknown number. The message includes an attachment. You try to call the number but you get no answer. What is the best action for you to take next?, Open the attachment.,Delete the message without opening the attachment.,Forward the message to your e-mail so you can open the attachment using your computer.,Call the phone number of the sender again.,2,,,,
Which term is used to describe a computer security program that is enabled when no keystrokes or mouse actions have occurred on the system for a specified duration?, Automated update,Desktop firewall,Automated patch,Screen saver,4,,,,
What distinguishes a worm from a virus?, A worm is capable of replicating itself automatically while affecting data.,A worm does not replicate itself; it damages or destroys data.,A worm and a virus are synonymous terms for a malicious program designed to damage computer systems.,A worm does not replicate itself; it assumes control of system operations.,1,,,,
"Brea opened an e-mail attachment and it launches a virus. Even after running anti-virus software, the damage is extensive and she will have to reformat her hard drive. Which step, if she had taken it prior to being attacked, would have reduced the impact to her productivity?", Performing regularly scheduled backups so that she can reload all files if lost or damaged,"Printing and then deleting files, thus limiting the number of electronic files vulnerable to virus attacks",Restoring data files from backup on a regular basis,Following a policy of never opening attachments,1,,,,
It is vital that you understand how to evaluate information you retrieve from resources on the Internet because the source of information can directly affect the quality and factuality of the information. Which of the following resource types bases information on primary sources?, Scholarly,Individual,Open peer-reviewed,Popular,1,,,,
"Patrick wants to search for Fender guitars other than Stratocasters. He plans to use a keyword search engine. He does not want to see any results for Stratocaster guitars, only other Fender models. Which of the following search strings should he use?", guitar Fender |Stratocaster,guitar Fender <Stratocaster>,guitar Fender !Stratocaster,guitar Fender *Stratocaster,3,,,,
Why might you receive different results using the same keywords on different search engines?, Because not every Web site is registered with every search engine,Because only search engines that use robot or spider programs can search registered Web sites,Because not every search engine recognizes the same keywords,Because different search engines interpret keywords differently,1,,,,
Which statement is true regarding the use of Internet searches for job-related research?," The Internet provides fast, convenient access to social networking, but should not be used as a research tool.","The Internet provides fast, convenient access to a vast amount of information and services.",The Internet should be used as a secondary resource to information found in scholarly journals.,The Internet is unreliable because too much false information is generated via popular search engines.,2,,,,
What is the purpose of the Boolean operator OR?, It requires the search results to include one keyword or one URL.,It requires the search results to include one keyword and exclude another.,It requires the search results to include one keyword or the other or both.,It requires the search results to include multiple keywords.,3,,,,
The <meta> tag can be used in Web pages for which purpose?, Providing search engines with a description of the Web site,Linking the Web site to other related Web pages,Containing the content that appears on each Web page,Preventing early-version browsers from viewing the Web site,1,,,,
What is the purpose of a Boolean operator?, To assign a relevancy ranking to search engine findings,To perform a static search or a keyword search,To determine the alphabetical order of search engine findings,To narrow search results by including or excluding words or phrases,4,,,,
"Which of the following search engines uses cross-referencing fields for conceptual searches, in addition to allowing keywords searches?", Yahoo!,Google,Excite,WebCrawler,3,,,,
"When you search for topics using a Web search engine, what are you searching?", An index or database of all computers connected to the Internet,All Web sites on the World Wide Web,An index or database of referenced Web sites,All computers connected to the Internet,3,,,,
Which of the following would you enter in a search engine to locate Web pages containing information about a topic?, A dotted-quad Internet address,A Uniform Resource Locator (URL),A keyword,A file name,3,,,,
"A search engine database contains titles, URLS and short descriptions for registered Web pages. What else would the database most likely contain?", Robots,Spiders,Keywords,Scripts,3,,,,
You are performing a keyword search with your browser. Which strategy should you use for the keywords you choose?, Use mostly verbs rather than nouns.,Use as few keywords as possible.,Use mostly nouns rather than verbs.,"Include at least one preposition such as ""the"" or ""an"".",3,,,,
Which is the most important reason you should properly cite information that you obtain from an Internet search?, To avoid contacting the original author,To avoid crediting the creators of the sites you use,To avoid plagiarizing someone else's work,To avoid using someone else's work for your own site or publication,3,,,,
"During a Web search, entering erroneous search criteria, clicking dead links or accessing a busy server is likely to:", cause an error page to display.,activate the robot or spider program.,use all the space in your browser cache.,return less relevant results for your keywords.,1,,,,
"After you have found the information you need on the Web, you must still evaluate its accuracy and value. To determine whether information is reliable or factual, you should:", consult popular resources.,consult open peer-reviewed resources.,consult authoritative peer-reviewed resources.,consult secondary resources.,3,,,,
It is vital that you understand how to evaluate information you retrieve from resources on the Internet because the source of information can directly affect the quality and factuality of the information. Which of the following types of resources only accept input from scholars and recognized authorities?, Primary,Individual,Authoritative peer-reviewed,Open peer-reviewed,3,,,,
"Which of the following search engines was the first to determine a site's relevance based upon the number of links that point to it, in addition to ranking its relevance according to keywords you enter?", Excite,Google,WebCrawler,Yahoo!,2,,,,
What is the purpose of the Boolean operator AND?, It requires the search results to include one keyword and one URL.,It requires the search results to exclude one keyword.,It requires the search results to include one keyword and exclude another.,It requires the search results to include multiple keywords.,4,,,,
What distinguishes an information portal from a search engine?, An information portal uses a robot or spider program to browse the Web and index the content that it finds.,An information portal will only index Web sites based on manual submissions.,An information portal allows only keyword index searches.,An information portal allows only static index/site map searches.,2,,,,
"You access a search engine and enter the words ""African"" and ""safari"" in the search box. The search engine returns links to Web sites in its index that include these words. Which type of search index did you use?", Full-text index,Structured directory index,Keyword index,Static index/site map,3,,,,
Which operator would you use in a Web search to find a multi-word phrase with the words in a specified order?, Ampersand &,"Quotation marks "" """,Parentheses ( ),Brackets [ ],2,,,,
You are an avid user of Facebook and Twitter. Which of the following search engines accommodates social networking to find more relevant information for your queries?, Google,Excite,Bing,Yahoo!,3,,,,
"You want to find information about Great Danes. You visit a popular search engine and manually search through a directory tree of topics until you find a directory titled ""Dogs"" and a subdirectory titled ""Breeds."" You select the topic ""Great Dane"" and look through a list of indexed pages on that topic, then choose one page with which to begin your research. Which type of search index did you use?", Static index/site map,Keyword index,Boolean index,Full-text index,1,,,,
How do robot or spider programs usually find keywords for a Web page?, By reading each site's source code embedded in the <meta> tags,By reading every word contained on each Web site,By reading the banner ads on each Web site,By reading the title of each Web site,1,,,,
It is vital that you understand how to evaluate information you retrieve from resources on the Internet because the source of information can directly affect the quality and factuality of the information. Which of the following resource categories is the most common type of Internet resource you will use?, Primary,Open peer-reviewed,Secondary,Authoritative peer-reviewed,3,,,,
"Search engines use a ranking system to help you determine how closely a site matches the topic for which you are searching. Generally, how does this ranking system work?"," The more keywords you specify in your search criteria, the higher the relevancy scores assigned to the retrieved documents.","The more frequently your specified keywords are found in a particular document, the higher the relevancy score that document receives.","The more hyperlinks included in a Web document, the higher the relevancy score that document receives.","The more reference sources included in a Web document, the higher the relevancy score that document receives.",2,,,,
What type of software is common to all smartphones?, Personal Information Management (PIM) software.,Spam-detection software.,Virus-protection software.,Encryption/decryption software.,1,,,,
"Microsoft Outlook, IBM Lotus Organizer, Sage ACT! and CorelCENTRAL are all examples of:", Relational Database Management System (RDBMS) programs.,Personal Information Management (PIM) programs.,Web-based e-mail client applications.,browser-based e-mail client applications.,2,,,,
"In order to help with your job tasks, your supervisor has given you a PIM application to install and use. PIM is an acronym for a type of program with which you can:"," translate dotted-quad IP addresses into easily recognizable text-based names, and vice versa.",filter spam at the client.,"schedule appointments and meetings, store contact information, and manage tasks.",filter spam at the server.,3,,,,
"Any tool used to schedule appointments and meetings, store contact information, and manage tasks is known as a:", Personal Digital Assistant (PDA).,Mail User Agent (MUA).,Message Transfer Agent (MTA).,Personal Information Management (PIM) program.,4,,,,
Which of the following is true regarding smartphones and PIM applications?, Smartphones use infrared-based keyboards for inputting information into PIM applications.,Smartphones rarely have enough memory to support full-featured PIM applications.,Smartphone PIM applications are designed to work in tandem with traditional desktop or laptop computers.,"Smartphones save changes you make in PIM applications in random-access memory (RAM), the contents of which are erased when you turn the smartphone off.",3,,,,
How can you reduce file size so that files can be sent more efficiently across the Internet?, By using a file compression utility to compress large files,By increasing the mail server's attachment size limit,By dividing the file in half and sending the two halves separately,By using smaller fonts in the files,1,,,,
"You download a file with the unusual file name extension of "".wow."" When you attempt to open this file, Windows displays a message indicating that it does not know how to open this particular file type. Which of the following determines a document type and the application required to open it?", HTTP,MIME,FTP,TCP/IP,2,,,,
Which statement best describes the reason that you should compress files?, To delete all unnecessary information from them and reduce transfer time,To delete all unnecessary information from them,To delete all unnecessary information from them and conserve hard disk space,To reduce transfer time and conserve hard disk space,4,,,,
What can you do to eliminate the need to define a MIME type for files that you download from Web sites?, Open the files in the Windows operating system only.,"Compress the files, then decompress them before you attempt to open them.",Open the files in an operating system other than Windows.,"Install the latest version of a browser, or install any available upgrades.",4,,,,
Which choice lists some file types that are often already compressed and thus may not be significantly reduced in file size by compression utilities?," BMP, JPG and TIFF","DOC, TXT and PDF","DOC, EXE and HTM","PNG, GIF and JPG",4,,,,
Which of the following is an example of a trademark?, The apple icon on the covers of many Beatles albums,"A chapter from John Lennon's book ""In His Own Write""","An MP3 file containing the Beatles' song ""Hey Jude""",A contract allowing you to use the Beatles' digital graphics on your Web site,1,,,,
Your company is about to release a proprietary product. Suddenly a competitor releases a very similar product that uses design data exactly like that from your company's product. You later learn that the proprietary data was leaked to the competitor. What preventive measure would have ensured that your company's proprietary information was protected from this type of action?, Monitoring employees' messages,Restricting employees' Internet access,Destroying all proprietary information,Uninstalling employees' e-mail clients,1,,,,
"Your company's strength is marketing and sales. Your production team is assigned to rebrand the content obtained from an independent author so your sales team can sell it under your company's name. The author's original work is protected under her legal ownership. So your project manager obtains permission from the author to use her work, in exchange for a royalty fee and a contributor credit in the book. Which term describes this permission arrangement?", Trademark,Copyright,Encryption,License,4,,,,
Spam can be considered an invasion of privacy because:, it is sent to recipients uninvited.,it is generally excluded from Web sites' privacy policies.,it is generally encrypted with weak encryption keys.,it is placed on Web site visitors' computers so that Web site managers can customize their sites to their visitors' preferences.,1,,,,
"Which choice lists the basic elements of authorship, according to copyright law?", Expression and originality,Usefulness and popularity,Appearance and global interest,Monetary value and public policy,1,,,,
"Which of the following can protect your company's data, prevent data from being intercepted by malicious outsiders, and deter hackers?", Trademark,Copyright,Encryption,License,3,,,,
"You are a network administrator for a medium-sized organization. The receptionist has had several problems with malware recently. The receptionist does not need to access external Web sites to perform his job, but he does use his computer for company documentation and internal communication with co-workers. Which of the following will help prevent additional malware from being installed on his computer?", Restrict this employee's access to the Internet.,Examine the cached files from the Internet on this employee's computer.,Audit the contents of this employee's hard drive.,Monitor the messages this employee sends and receives via e-mail.,1,,,,
"Which of the following protects original works of authorship that are fixed in a tangible medium of expression, and defines an original work by the basic elements of expression and originality?", Trademark,Copyright,License,Encryption,2,,,,
Which organization was created by the United Nations to help protect ownership of work and creations globally?, International Organization for Standardization (ISO),World Wide Web Consortium (W3C),Internet Assigned Numbers Authority (IANA),World Intellectual Property Organization (WIPO),4,,,,
Your IT department enforces the use of 128-bit encryption on all company transmissions. Your department also protects the company encryption keys to ensure secure transmissions. Which choice lists an important reason for encrypting the company's network transmissions?, Preventing data from being intercepted by malicious outsiders,Avoiding licenses that allow you to use a copyrighted software program,Providing employees privacy to use company e-mail for personal purposes,Legally protecting your company's original product content,1,,,,
"Harley works in the sales department at his company. He feels that the company's marketing team is not doing a good job, so without direction or permission, he starts his own social networking page to help. His page has a name similar to the company's. He posts company logos on it and uses text copied from the company Web site. He posts news and sends tweets to customers and others interested in the company. When the company learns of this, what action is it most likely to take?"," Human Resources will issue a cease-and-desist letter, take control of Harley's page, and terminate Harley's employment for copyright and trademark infringement.","Human Resources will send Harley an informal request to stop using company logos, but allow him to continue using his social networking page.",Marketing will post a link to Harley's page from the company's official social networking site.,Marketing will add references to Harley's social networking page in the company's internal newsletter.,1,,,,
Which of the following is protected by copyright?," The graphical ""double-helix"" representation of DNA",The lessons explaining DNA concepts on the www.DNAftb.org Web site,The concept of how DNA functions in human hereditary behavior,The permission you obtained to reprint another author's essay about DNA,2,,,,
All IT professionals are faced with ethical and legal issues related to:, the configuration of their company's computer networks.,the purposes for which their company uses its e-mail.,the security of network and individual computer use by employees.,the financial resources allocated and spent on hardware and software.,3,,,,
The level of secrecy offered by encryption is dependent on:, the transmission speed used to encrypt or decrypt data.,whether or not the data you are encrypting is copyrighted.,the type of encryption used and the size of the key.,whether or not the data you are encrypting is licensed.,3,,,,
"You are a network administrator for your company. When establishing the company encryption policies, you must determine the risk of sending unencrypted data based on the nature of the data and its risk to the company if obtained by unauthorized users. Much of the data your company sends is proprietary and sensitive in nature, so you determine that encrypting company transmissions is critical. What is the disadvantage of your decision to encrypt company transmissions?", Encrypting transmissions slows communication because each data packet must be encrypted and decrypted.,Encrypting transmissions requires you to obtain a license from the copyright owner.,Encrypting transmissions violates your employees' privacy rights.,Encrypting transmissions encourages hackers and places data at risk for interception by malicious outsiders.,1,,,,
"You are ultimately responsible for your Internet use and the possible ramifications of posting personal information to the Web. The explosion in social networking via the Web has given rise to the ""Right to Be Forgotten"" argument, which asks:", whether people have the right to remove themselves from newsgroups to avoid receiving spam.,whether people have the right to access social networking sites when they have forgotten their user names and passwords.,whether people have the right to remove damaging information about themselves on the Internet.,whether people have the right to reject the receipt of cookies from Web sites they visit.,3,,,,
Your company has provided you with a desktop computer to use at work. You have configured your e-mail client on this work computer to include your personal e-mail account so that you can conveniently download messages and check your personal e-mail. Which of the following is true?, The company is required by law to allow you to receive personal e-mail messages at work.,The company can read your personal e-mail messages.,The company will block your personal e-mail account.,The company will ignore your personal e-mail messages out of respect for your privacy.,2,,,,
Which choice lists security-related ethical and legal issues that IT professionals face?, Copyrighting procedures for server documentation and contract employee issues,"Privacy concerns, copyright and trademark issues, and encryption policies",Copyrighting procedures for employee manuals and company Web site design,"Licensing issues, marketing schemes and policies, and branding standards",2,,,,
"You avoid adding yourself to unwanted mailing lists, you conduct online transactions through secure Web sites, and you are selective when posting information to newsgroups. These actions will help you:", protect original works of authorship under copyright law.,perform the IT job of Web site analyst.,minimize the amount of spam you receive.,enforce the company's encryption policy for e-mail.,3,,,,
Employers can monitor their employees' e-mail messages sent to and from the company network because:, regular monitoring reduces the extent of infection by malware.,it prevents employees from using network resources too frequently.,all information carried by the company's communication system is company property.,this activity minimizes the amount of spam employees receive.,3,,,,
Which statement is true regarding international copyrights of digital information?, An international copyright is designed to protect digital information in countries that belong to the World Intellectual Property Organization (WIPO).,An international copyright is designed to protect digital information in all countries worldwide.,An international copyright does not exist.,An international copyright does not exist but your material is protected as long as you use the copyright symbol ( © ).,3,,,,
Which of the following is considered a responsibility of IT professionals?," To have access to the hardware, software and security clearances required to perform tasks","To receive clear, detailed objectives and instructions so they can provide the appropriate services and products to their customers",To plan and conduct service and product installations and training in a manner that minimizes workflow interruption and downtime,"To provide services and products in a timely, cost-effective and secure manner, even if the service violates company policy",3,,,,
Milestones can add significant value to project scheduling because:, they enable you to determine how your project team's strong and weak points can affect the outcome of a project.,they can help you manage the changes to the project's scope in a systematic fashion so that the project's objectives are not compromised.,they can become the points at which the project team or project stakeholders evaluate the project's progress and make decisions that may affect the status of the project going forward.,they can graphically display the project tasks and task durations.,3,,,,
A SWOT analysis is an integral part of the planning phase because it allows you to:, outline the requirements for each project task to ensure that the project objectives are met.,evaluate your organization's or team's strengths to determine whether they will assist you in accomplishing the project objectives.,"outline the processes, tools and techniques you will need to implement changes to achieve a desired outcome.",list the planned dates for performing tasks and meeting goals identified in the project plan.,2,,,,
Why does an IT project manager need to consider a project's Return On Investment (ROI) before starting a new project?," Before starting a project, an IT project manager must convince management that the product or service will result in a negative ROI.","Before starting a project, an IT project manager must make sure that sufficient funds exist to complete the project.","Before starting a project, an IT project manager must convince management that a product or service will lead to productivity gains, even if the project costs outweigh the potential gains.","Before starting a project, an IT project manager will be required to justify the project's benefits relative to its costs.",4,,,,
"In many cases, project teams are created and developed with people who have different perspectives and priorities. Why is it important for a project manager to have the ability to develop and manage teams?", To help team members complete the project schedule within the project constraints,"To help team members determine the tasks, time and cost required to complete a project",To help team members evaluate the condition of a project and communicate project data effectively,To help team members clearly define the project objectives,1,,,,
"What can you do during the executing and controlling phases of a project to discuss progress, and to respond to project issues and unanticipated developments?", Keep an issues log to review at each project milestone.,Document project tasks to provide a paper trail.,Plan and schedule meetings with team members.,Adjust the project schedule accordingly.,3,,,,
"In project management, a resource is:", a sequence of work units that must be accomplished within a defined time frame.,"the appointment of a person, department or device to a unit of work.",a unit of work that must be accomplished.,"a person, department or device needed to accomplish a unit of work.",4,,,,
Which document lists the planned dates for performing tasks and meeting goals identified in the project plan?, Project schedule,Issues log,Needs analysis,Statement of work,1,,,,
Project management software often contains Gantt charts. What is the purpose of Gantt charts?, To graphically display problems that need to be escalated for resolution,To graphically display the project tasks and task durations,To graphically display stages of task completion and cost status of the project,To graphically display the project tasks and corresponding deadlines,2,,,,
What is a project constraint?," A factor, such as budget or time, that limits a project manager's options",A factor that is considered to be real or certain for planning purposes,A document that displays the planned dates for performing tasks and meeting deadlines,A document that contains the project goals and specifies how those goals will be met,1,,,,
"As an IT professional for a small company, you are responsible for changing network-access user names and passwords as a security precaution. What should you do to prevent employee frustration or confusion when they try to log on to the network after you have changed user names and passwords?"," Conduct employee training sessions in advance to provide instructions, then notify employees of the new user names and passwords immediately after you make the changes.",Provide instructions for accessing the network to employees immediately after you make the changes.,"Notify employees in advance of the new user names and passwords, and specify the date on which the new user names and passwords will take effect.",Notify employees of the new user names and passwords immediately after you make the changes.,3,,,,
"As an IT project manager, you are weighing the benefits of installing a new company firewall. Of what must you convince upper management in order to gain their approval for the project?", That the new firewall installation will effectively filter spam,That the new firewall installation will allow employees access to the Internet,That the new firewall installation will result in a positive Return On Investment (ROI),That the new firewall installation will prevent outside users from accessing company servers,3,,,,
"In project management, an assignment is:"," a person, department or device needed to accomplish a unit of work.",a unit of work that must be accomplished.,a sequence of work units that must be accomplished within a defined time frame.,"the appointment of a person, department or device to a unit of work.",4,,,,
What are project stakeholders?, Milestones that are used to measure the progress of a project,People or groups that can exert influence over the project and affect results,Reporting tools used by project managers to record the progress of a project,Critical paths that describe tasks that must be completed on time so that the final project deadline will not be adversely affected,2,,,,
"If the budget allotted for a project were suddenly cut in half, which of the following would be the most likely result?", The scope of the project would be reduced.,The scope of the project would be increased.,No other part of the project would have to be adjusted.,The time allotted for the project would be cut in half as well.,1,,,,
"If you were a project manager, which of the following documents would be the most helpful in evaluating project risks and determining whether you should escalate concerns to managers or executives outside the project team for resolution?", An issues log,A SWOT analysis,A project schedule,A Gantt chart,1,,,,
What is the most important consideration in data modeling?, The database's ability to apply appropriate standards to the data,The database's ability to process data,The database's ability to organize a domain,The database's ability to create various complex systems,2,,,,
What are the three elements of the project triangle?," Funding, quality and deadlines","Deadlines, time and tasks","Time, money and scope","Time, staff and funding",3,,,,
"During the closing phase of every project, the project manager should perform a formal project review with the project team. The project review provides an opportunity to:", proactively anticipate and respond to potential project deviations.,"use the issues log to support time, resource or cost changes that affected project performance.","test the product, evaluate performances and document lessons learned.","create a paper trail of team members who performed tasks, and the dates they started and completed them.",3,,,,
"As a project manager, you complete a Statement Of Work (SOW) at the end of the initiating phase of a project. What does a SOW outline?"," The processes, tools and techniques you will need to implement changes to achieve a desired outcome",The project tasks and durations in bar-chart format,The planned dates for performing tasks and meeting goals defined in a project plan,The requirements for each project task to ensure that the project objectives are met,4,,,,
Project managers must balance three elements that compose the project triangle. You are a project manager who is halfway through a project when your customer contacts you to say that he has been authorized to provide additional funds for the project. How will this most likely affect other elements of the project?, Cost of the project will be reduced.,Project scope will decrease.,Time to complete the project will be reduced.,Project scope will increase.,4,,,,
Why do the executing and controlling phases of a project usually overlap?," Because the executing phase identifies all the tasks required to achieve project goals, and the controlling phase estimates the time each task will take to complete and determines tasks that are dependent upon one another.","Because the executing phase defines the project scope and the project goals, and the controlling phase defines the tasks required to accomplish those goals.","Because project work takes place during the executing phase: A project manager evaluates the project schedule, budget, scope, resources and assignments to determine the aspects of the project that worked well as work is being performed.",Because project work takes place during the executing phase: A project manager monitors the status of the project and takes corrective action as work is being performed.,4,,,,
"In project management, a task is:", a unit of work that must be accomplished.,"the appointment of a person, department or device to a unit of work.","a person, department or device needed to accomplish a unit of work.",a sequence of work units that must be accomplished within a defined time frame.,1,,,,
"In project management, a project is:"," a person, department or device needed to accomplish a unit of work.","the appointment of a person, department or device to a unit of work.",a unit of work that must be accomplished.,a sequence of work units that must be accomplished within a defined time frame.,4,,,,
How does scope creep undermine the success of a project?," Changes in project scope are generally abrupt and significant, and usually cause projects to be terminated.","Scope creep usually indicates that the project costs are spiraling out of control, and usually results in project termination.","Changes in project scope tend to occur in small increments, and these small increases in scope can add up and compromise the success of the project.","Scope creep usually indicates a change in project management expertise, which usually compromises the success of the project.",3,,,,
"A critical first step in the initiating phase of a project is to conduct a needs analysis, which:", identifies the problems or desires that the project must resolve or address.,identifies the requirements for each project task to ensure that the project objectives are met.,identifies the planned dates for performing tasks and meeting goals defined in a project plan.,"identifies the goals and tasks of a project, and the work required to complete them.",1,,,,
Which result reflects an IT project that is properly managed?, Employee productivity is adversely affected.,Employee productivity loss is minimized.,Animosity among departments occurs because the success of the IT project overshadows the accomplishments of the other departments.,Employees become frustrated and angry because training on new systems usually lags behind project completion.,2,,,,
Which result reflects an IT project that is poorly managed?," Project tasks take longer to complete, requiring more company resources and money.",Fewer alternatives are provided to employees to manage their workload during system downtime.,The IT project's lack of success will cause other departments to work together more amicably to make up for the project's deficiencies.,IT training and support is discontinued because non-IT personnel did not welcome or utilize the support.,1,,,,
"Tegan is project manager for a complex product that is having some quality problems during early testing. He meets with the customer to discuss the issues, and the customer tells him that product quality and cost are the priorities: The product must be high quality and must be developed within budget. Tegan asks if the customer can extend the deadline, but the customer refuses. Considering the elements of the project triangle, what can Tegan suggest to meet the customer's needs at this point?", That the customer uses a Gantt chart to add time to the project.,"That the customer compromises one of the project triangle elements he is demanding: quality, budget or schedule.",That the customer hires temporary contractors to help finish the job.,That the customer limits the project scope to include only the most important features.,4,,,,
"Which of the following standards organizations offers a family of business management system standards that details the steps recommended to produce high-quality products and services using a quality-management system that maximizes time, money and resources?", The International Organization for Standardization (ISO),The Institute of Electrical and Electronics Engineers (IEEE),The Internet Engineering Task Force (IETF),The World Wide Web Consortium (W3C),1,,,,
Which of the following is considered a right of IT professionals working at the help desk?," To provide services and products in a timely, cost-effective and secure manner, even if the service violates company policy",To change the rules and policies that govern an organization because they affect the professional's ability to fulfill client requests,"To receive clear, detailed objectives and instructions so that they can provide the appropriate services and products to their customers",To plan and conduct service and product installations and training in a manner that minimizes workflow interruption and downtime,3,,,,
What is the project triangle?," The relationship among technical skills, people skills and time management skills utilized by good project managers","The relationships among tasks that define them as concurrent, overlapping or sequential in a Gantt chart","The relationships among the initiating, planning and executing phases of project management","The relationship among time, money and scope in completing a project",4,,,,
One way that a project manager can ensure the delivery of a quality product is to adhere to ISO 9000 standards. ISO 9000:, details the segregation of duties that project team members should employ to independently verify that project tasks were completed correctly.,"identifies nine topic areas, each of which provides a set of principles and techniques to help project managers manage projects.","details recommended steps for producing products and services using a quality-management system that maximizes time, money and resources.",outlines the rights of IT professionals and their responsibilities to the organizations for which they work.,3,,,,
Which of the following improves the quality of a product by providing independent verification that project tasks were completed correctly?, Adhering to ISO 9000 standards,Implementing the Six Sigma methodology,Engaging in the separation of duties,Evaluating team members' performances,3,,,,
A relational database record can best be described as:, a collection of data that can be sorted and searched using search algorithms.,a collection of information consisting of one or more related fields about a specific entity.,"a collection of data about a limited topic, organized into rows and columns.",a category of information in a table.,2,,,,
Which term is used to describe the component that relates multiple tables of information in a relational database?, Primary key,Foreign key,Common field,Junction table,3,,,,
In which database table relationship type is a junction table a necessary component?, A many-to-one relationship,A many-to-many relationship,A one-to-many relationship,A one-to-one relationship,2,,,,
